epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1587.69,1.85562,1.91622,1.57775,0.12894,0.2,0.0773,0.02154,2.62929,2.72941,2.24864,0.000828443,0.000828443,0.000828443
43,1625.13,1.82158,1.8943,1.5453,0.08419,0.24394,0.06529,0.0174,2.62022,2.83217,2.37283,0.000820525,0.000820525,0.000820525
44,1663.41,1.85763,1.89541,1.56203,0.09386,0.31818,0.09249,0.02739,2.59628,2.77554,2.38548,0.000812468,0.000812468,0.000812468
45,1703.51,1.83453,1.86212,1.51141,0.10913,0.36316,0.09395,0.0251,2.58822,2.74247,2.34184,0.000804277,0.000804277,0.000804277
46,1742.59,1.85095,1.88293,1.54948,0.09958,0.26061,0.07735,0.0207,2.62197,2.86604,2.35995,0.000795954,0.000795954,0.000795954
47,1781.46,1.82987,1.87836,1.54633,0.09927,0.28636,0.08216,0.02049,2.61231,2.86879,2.26434,0.000787503,0.000787503,0.000787503
48,1822.26,1.80466,1.85157,1.50927,0.13358,0.24736,0.11348,0.03165,2.63269,2.71605,2.23815,0.000778929,0.000778929,0.000778929
49,2048.2,1.79572,1.77025,1.5198,0.13882,0.2758,0.13139,0.03839,2.64403,2.62381,2.27724,0.000770234,0.000770234,0.000770234
50,2090.58,1.80887,1.8337,1.51437,0.16047,0.25606,0.11938,0.03066,2.70732,2.55555,2.44714,0.000761423,0.000761423,0.000761423
51,2129.27,1.81137,1.77321,1.49978,0.12663,0.25152,0.09644,0.02427,2.70377,2.65246,2.47262,0.0007525,0.0007525,0.0007525
52,2168.68,1.7691,1.7492,1.47726,0.15223,0.26061,0.0954,0.02353,2.66899,2.71555,2.41596,0.000743468,0.000743468,0.000743468
53,2208.83,1.72161,1.69053,1.42998,0.15889,0.28182,0.11506,0.02736,2.69743,2.67105,2.40611,0.000734332,0.000734332,0.000734332
54,2247.69,1.78124,1.76041,1.50604,0.142,0.23333,0.11535,0.03095,2.69707,2.68851,2.3446,0.000725094,0.000725094,0.000725094
55,2286.69,1.78332,1.75728,1.48127,0.1683,0.24041,0.12704,0.03515,2.65126,2.7942,2.30451,0.000715761,0.000715761,0.000715761
56,2325.91,1.76371,1.74161,1.46837,0.1549,0.20125,0.12211,0.03806,2.56438,2.80998,2.31615,0.000706335,0.000706335,0.000706335
57,2366.79,1.80056,1.72167,1.501,0.16412,0.30606,0.12268,0.03489,2.60844,2.71406,2.35784,0.00069682,0.00069682,0.00069682
58,2406.19,1.71991,1.67821,1.46463,0.13721,0.2429,0.11976,0.03132,2.66391,2.73023,2.38545,0.000687222,0.000687222,0.000687222
59,2445.17,1.74356,1.70375,1.42791,0.12157,0.18788,0.07896,0.02146,2.69849,2.80189,2.34178,0.000677543,0.000677543,0.000677543
60,2484.88,1.74084,1.70422,1.48129,0.12318,0.27576,0.08869,0.02164,2.71643,2.73569,2.38084,0.000667789,0.000667789,0.000667789
61,2528,1.7586,1.65028,1.46614,0.14708,0.28788,0.11924,0.02567,2.69919,2.69952,2.41698,0.000657963,0.000657963,0.000657963
62,2572.29,1.72072,1.66411,1.46958,0.14277,0.24764,0.1034,0.02475,2.68677,2.68215,2.44531,0.000648071,0.000648071,0.000648071
63,2614.03,1.65895,1.59672,1.45063,0.15263,0.1697,0.1101,0.02719,2.68964,2.6841,2.49443,0.000638115,0.000638115,0.000638115
64,2653.79,1.69725,1.55821,1.40503,0.11633,0.27879,0.1047,0.02551,2.68353,2.67407,2.43018,0.000628101,0.000628101,0.000628101
65,6918.17,1.65826,1.59629,1.41545,0.09641,0.20176,0.0918,0.02321,2.6858,2.67433,2.38765,0.000618034,0.000618034,0.000618034
66,6973.8,1.6794,1.60692,1.44923,0.13584,0.23182,0.1034,0.02432,2.65213,2.7331,2.3794,0.000607916,0.000607916,0.000607916
